product_id,name,category,price,stock,min_reorder
PRD-1057,Bread Brand-14,Bakery,5.45,74,30
PRD-1058,Chicken Brand-41,Beverages,15.79,12,22
PRD-1059,Milk Brand-32,Beverages,33.55,0,30
PRD-1060,Bread Brand-29,Cleaning,2.54,7,23
PRD-1061,Milk Brand-7,Produce,20.06,8,24
PRD-1062,Sugar Brand-21,Cleaning,2.18,14,30
PRD-1063,Milk Brand-13,Personal Care,30.51,72,19
PRD-1064,Rice Brand-32,Canned Goods,41.48,8,18
PRD-1065,Flour Brand-37,Bakery,25.14,31,10
PRD-1066,Bread Brand-6,Produce,31.4,60,25
PRD-1067,Sugar Brand-46,Cleaning,35.6,49,19
PRD-1068,Chicken Brand-48,Bakery,36.26,69,30
PRD-1069,Salt Brand-28,Cleaning,44.86,91,28
PRD-1070,Juice Brand-43,Beverages,38.58,69,18
PRD-1071,Apples Brand-45,Meat,7.27,12,13
PRD-1072,Rice Brand-7,Produce,3.87,45,24
PRD-1073,Juice Brand-3,Produce,35.5,81,15
PRD-1074,Bread Brand-25,Bakery,43.81,14,12
PRD-1075,Milk Brand-27,Beverages,35.73,18,13
PRD-1076,Cooking Oil Brand-50,Produce,8.61,80,12
PRD-1077,Rice Brand-40,Produce,7.33,38,29
PRD-1078,Apples Brand-15,Bakery,38.96,73,17
PRD-1079,Apples Brand-13,Bakery,20.39,22,10
PRD-1080,Sugar Brand-50,Meat,34.31,91,17
PRD-1081,Soap Brand-21,Canned Goods,43.7,93,13
PRD-1082,Cooking Oil Brand-33,Produce,3.38,99,29
PRD-1083,Soap Brand-32,Bakery,9.56,26,19
PRD-1084,Flour Brand-32,Meat,31.5,41,17
PRD-1085,Chicken Brand-40,Canned Goods,41.32,67,26
PRD-1086,Bread Brand-17,Produce,9.57,73,11
PRD-1087,Soap Brand-27,Canned Goods,19.59,87,20
PRD-1088,Soap Brand-43,Beverages,12.13,84,30
PRD-1089,Rice Brand-2,Meat,24.58,96,21
PRD-1090,Soap Brand-39,Produce,16.32,63,11
PRD-1091,Biscuits Brand-6,Produce,42.97,43,15
PRD-1092,Cooking Oil Brand-47,Beverages,19.03,97,14
PRD-1093,Apples Brand-16,Meat,38.24,33,16
PRD-1094,Rice Brand-37,Cleaning,36.55,63,11
PRD-1095,Cooking Oil Brand-19,Personal Care,28.18,45,14
PRD-1096,Juice Brand-34,Produce,10.53,72,19
PRD-1097,Juice Brand-34,Produce,42.05,79,26
PRD-1098,Soap Brand-18,Produce,14.64,7,12
PRD-1099,Rice Brand-15,Bakery,22.96,61,26
PRD-1100,Juice Brand-42,Cleaning,18.11,86,10
PRD-1101,Salt Brand-30,Bakery,41.65,14,26
PRD-1102,Apples Brand-50,Meat,18.56,7,21
PRD-1103,Milk Brand-13,Personal Care,27.64,14,26
PRD-1104,Flour Brand-44,Meat,35.71,81,27
PRD-1105,Bread Brand-9,Produce,7.72,57,16
PRD-1106,Biscuits Brand-42,Dairy,29.91,20,25
PRD-1107,Milk Brand-11,Beverages,14.05,100,29
PRD-1108,Juice Brand-32,Bakery,26.76,26,10
PRD-1109,Apples Brand-1,Meat,14.66,14,18
PRD-1110,Flour Brand-3,Meat,41.02,32,20
PRD-1111,Rice Brand-6,Meat,25.72,7,10
PRD-1112,Sugar Brand-20,Bakery,24.93,2,18
PRD-1113,Milk Brand-44,Dairy,2.32,10,21
PRD-1114,Sugar Brand-38,Cleaning,43.72,39,30
PRD-1115,Juice Brand-31,Produce,43.5,35,11
PRD-1116,Cooking Oil Brand-29,Personal Care,43.39,72,21
PRD-1117,Chicken Brand-12,Beverages,28.88,65,23
PRD-1118,Cooking Oil Brand-47,Cleaning,8.8,52,15
PRD-1119,Salt Brand-5,Cleaning,23.36,70,18
PRD-1120,Soap Brand-46,Dairy,11.56,55,26
PRD-1121,Bread Brand-30,Produce,3.11,74,10
PRD-1122,Flour Brand-11,Produce,39.12,8,15
PRD-1123,Chicken Brand-19,Dairy,19.54,42,26
PRD-1124,Flour Brand-10,Personal Care,18.86,38,17
PRD-1125,Apples Brand-39,Bakery,8.58,30,18
PRD-1126,Apples Brand-45,Personal Care,34.0,5,17
PRD-1127,Bread Brand-30,Produce,36.34,91,14
PRD-1128,Juice Brand-42,Personal Care,9.44,4,20
PRD-1129,Bread Brand-50,Canned Goods,31.0,83,14
PRD-1130,Juice Brand-25,Produce,19.39,65,17
PRD-1131,Milk Brand-21,Beverages,34.25,49,23
PRD-1132,Soap Brand-15,Canned Goods,5.1,61,11
PRD-1133,Bread Brand-8,Bakery,2.65,96,13
PRD-1134,Sugar Brand-23,Dairy,32.61,50,21
PRD-1135,Juice Brand-40,Canned Goods,25.03,39,24
PRD-1136,Salt Brand-14,Dairy,44.41,3,26
PRD-1137,Flour Brand-25,Meat,21.34,48,26
PRD-1138,Rice Brand-20,Canned Goods,16.9,46,16
PRD-1139,Salt Brand-9,Meat,30.56,2,17
PRD-1140,Sugar Brand-46,Canned Goods,33.88,67,22
PRD-1141,Sugar Brand-37,Canned Goods,14.53,85,28
PRD-1142,Salt Brand-32,Produce,19.76,13,25
PRD-1143,Juice Brand-45,Personal Care,39.32,4,26
PRD-1144,Juice Brand-38,Beverages,25.14,30,25
PRD-1145,Biscuits Brand-48,Personal Care,8.13,99,20
PRD-1146,Salt Brand-31,Canned Goods,34.58,3,23
PRD-1147,Bread Brand-10,Dairy,5.65,43,15
PRD-1148,Salt Brand-6,Personal Care,42.98,60,24
PRD-1149,Sugar Brand-6,Personal Care,26.67,92,27
PRD-1150,Rice Brand-20,Beverages,29.3,0,20
PRD-1151,Rice Brand-10,Cleaning,7.46,84,19
PRD-1152,Rice Brand-31,Dairy,43.97,7,21
PRD-1153,Cooking Oil Brand-12,Produce,2.88,6,24
PRD-1154,Rice Brand-44,Cleaning,33.15,44,25
PRD-1155,Chicken Brand-40,Produce,18.1,36,22
PRD-1156,Biscuits Brand-19,Dairy,25.29,23,24
PRD-1157,Biscuits Brand-49,Bakery,26.63,20,11
PRD-1158,Cooking Oil Brand-4,Cleaning,13.65,6,13
PRD-1159,Sugar Brand-47,Personal Care,2.01,55,21
PRD-1160,Juice Brand-9,Canned Goods,27.97,14,11
PRD-1161,Flour Brand-20,Cleaning,2.39,77,21
PRD-1162,Apples Brand-46,Meat,2.57,76,19
PRD-1163,Juice Brand-2,Cleaning,44.1,6,30
PRD-1164,Cooking Oil Brand-28,Personal Care,10.56,64,13
PRD-1165,Sugar Brand-17,Meat,31.52,34,21
PRD-1166,Apples Brand-30,Bakery,19.61,81,28
PRD-1167,Salt Brand-6,Personal Care,31.52,69,29
PRD-1168,Cooking Oil Brand-20,Produce,25.36,90,18
PRD-1169,Chicken Brand-28,Beverages,39.45,47,13
PRD-1170,Biscuits Brand-45,Personal Care,29.67,33,29
PRD-1171,Flour Brand-25,Cleaning,38.6,100,20
PRD-1172,Sugar Brand-17,Cleaning,26.37,60,27
PRD-1173,Salt Brand-43,Dairy,12.27,61,26
PRD-1174,Rice Brand-8,Beverages,42.45,29,17
PRD-1175,Soap Brand-24,Canned Goods,7.95,97,18
PRD-1176,Apples Brand-16,Dairy,38.12,93,13
PRD-1177,Soap Brand-16,Personal Care,2.84,61,20
PRD-1178,Sugar Brand-22,Cleaning,39.81,77,25
PRD-1179,Juice Brand-19,Dairy,22.91,96,29
PRD-1180,Rice Brand-27,Personal Care,37.34,28,30
PRD-1181,Juice Brand-25,Meat,15.82,54,21
PRD-1182,Cooking Oil Brand-34,Dairy,29.87,82,23
PRD-1183,Milk Brand-35,Cleaning,8.52,12,24
PRD-1184,Milk Brand-27,Meat,32.87,100,29
PRD-1185,Soap Brand-36,Produce,11.79,69,19
PRD-1186,Cooking Oil Brand-1,Bakery,37.95,11,10
PRD-1187,Soap Brand-29,Personal Care,22.21,86,28
PRD-1188,Juice Brand-36,Produce,14.31,100,26
PRD-1189,Soap Brand-34,Cleaning,11.07,60,17
PRD-1190,Milk Brand-15,Canned Goods,13.42,11,13
PRD-1191,Soap Brand-19,Dairy,5.1,68,26
PRD-1192,Flour Brand-37,Beverages,42.5,1,29
PRD-1193,Chicken Brand-11,Cleaning,6.78,73,12
PRD-1194,Sugar Brand-1,Cleaning,26.6,63,13
PRD-1195,Bread Brand-44,Cleaning,27.49,18,26
PRD-1196,Salt Brand-50,Bakery,38.2,60,10
PRD-1197,Rice Brand-41,Meat,43.2,28,15
PRD-1198,Chicken Brand-15,Cleaning,13.4,21,13
PRD-1199,Apples Brand-26,Produce,38.65,95,25
PRD-1200,Salt Brand-30,Cleaning,24.84,51,26
PRD-1201,Soap Brand-18,Produce,40.95,66,25
PRD-1202,Bread Brand-5,Cleaning,8.47,30,19
PRD-1203,Sugar Brand-1,Canned Goods,44.77,50,17
PRD-1204,Sugar Brand-40,Produce,18.58,19,16
PRD-1205,Chicken Brand-22,Cleaning,1.81,50,27
PRD-1206,Chicken Brand-8,Meat,9.16,89,15
PRD-1207,Milk Brand-10,Canned Goods,41.02,40,11
PRD-1208,Flour Brand-15,Produce,28.68,40,14
PRD-1209,Cooking Oil Brand-9,Personal Care,33.37,65,14
PRD-1210,Soap Brand-27,Produce,32.24,10,19
PRD-1211,Sugar Brand-30,Personal Care,27.76,61,23
PRD-1212,Bread Brand-27,Meat,7.13,50,30
PRD-1213,Juice Brand-47,Personal Care,43.78,35,24
PRD-1214,Salt Brand-32,Bakery,5.49,64,19
PRD-1215,Sugar Brand-28,Meat,16.34,97,28
PRD-1216,Soap Brand-25,Cleaning,27.09,78,29
PRD-1217,Chicken Brand-24,Meat,39.17,17,14
PRD-1218,Salt Brand-20,Beverages,39.13,16,29
PRD-1219,Cooking Oil Brand-16,Personal Care,2.8,28,15
PRD-1220,Chicken Brand-36,Cleaning,29.54,56,10
PRD-1221,Chicken Brand-15,Canned Goods,3.59,46,17
PRD-1222,Milk Brand-7,Meat,13.88,42,15
PRD-1223,Soap Brand-7,Canned Goods,3.25,23,12
PRD-1224,Bread Brand-23,Cleaning,19.28,77,25
PRD-1225,Rice Brand-21,Produce,9.33,0,10
PRD-1226,Bread Brand-5,Dairy,26.69,38,19
PRD-1227,Bread Brand-20,Meat,37.71,66,25
PRD-1228,Rice Brand-4,Meat,28.68,30,29
PRD-1229,Milk Brand-2,Canned Goods,30.98,55,14
PRD-1230,Soap Brand-41,Bakery,1.61,81,11
PRD-1231,Milk Brand-37,Dairy,36.33,27,12
PRD-1232,Bread Brand-46,Personal Care,13.18,53,19
PRD-1233,Chicken Brand-42,Bakery,43.69,94,22
PRD-1234,Chicken Brand-11,Beverages,39.23,32,13
PRD-1235,Soap Brand-18,Beverages,36.24,26,21
PRD-1236,Milk Brand-3,Dairy,28.29,38,17
PRD-1237,Biscuits Brand-5,Beverages,24.97,59,11
PRD-1238,Salt Brand-16,Bakery,21.6,50,10
PRD-1239,Rice Brand-24,Meat,36.89,100,22
PRD-1240,Sugar Brand-24,Dairy,20.55,59,19
PRD-1241,Cooking Oil Brand-1,Bakery,11.35,79,15
PRD-1242,Bread Brand-3,Personal Care,15.56,33,17
PRD-1243,Chicken Brand-33,Meat,3.86,83,27
PRD-1244,Flour Brand-36,Meat,29.89,92,26
PRD-1245,Biscuits Brand-12,Personal Care,2.59,9,30
PRD-1246,Rice Brand-32,Produce,24.61,71,15
PRD-1247,Biscuits Brand-3,Meat,33.77,48,20
PRD-1248,Juice Brand-22,Meat,10.24,62,11
PRD-1249,Sugar Brand-28,Dairy,24.27,95,17
PRD-1250,Sugar Brand-47,Bakery,23.15,41,25
PRD-1251,Sugar Brand-17,Meat,30.76,94,23
PRD-1252,Juice Brand-23,Beverages,38.01,5,26
PRD-1253,Sugar Brand-28,Produce,15.58,62,14
PRD-1254,Soap Brand-20,Meat,8.36,3,10
PRD-1255,Juice Brand-14,Canned Goods,21.88,16,25
PRD-1256,Juice Brand-28,Beverages,35.05,55,23
PRD-1257,Soap Brand-48,Beverages,44.16,3,19
PRD-1258,Flour Brand-9,Personal Care,2.37,80,29
PRD-1259,Flour Brand-21,Beverages,21.32,100,20
PRD-1260,Juice Brand-21,Cleaning,13.6,77,26
PRD-1261,Bread Brand-13,Beverages,23.54,41,17
PRD-1262,Cooking Oil Brand-48,Meat,29.26,16,22
PRD-1263,Chicken Brand-30,Personal Care,8.43,98,14
PRD-1264,Salt Brand-4,Personal Care,26.84,14,25
PRD-1265,Soap Brand-16,Personal Care,4.63,67,14
PRD-1266,Apples Brand-50,Produce,38.53,88,22
PRD-1267,Soap Brand-40,Canned Goods,3.18,6,13
PRD-1268,Juice Brand-28,Personal Care,40.76,36,17
PRD-1269,Sugar Brand-6,Dairy,25.49,99,11
PRD-1270,Soap Brand-45,Personal Care,43.69,19,14
PRD-1271,Rice Brand-12,Produce,40.67,57,20
PRD-1272,Salt Brand-43,Canned Goods,36.12,8,20
PRD-1273,Apples Brand-16,Meat,39.01,93,29
PRD-1274,Soap Brand-50,Produce,24.05,6,29
PRD-1275,Juice Brand-16,Produce,32.38,85,10
PRD-1276,Soap Brand-19,Beverages,31.25,37,15
PRD-1277,Sugar Brand-44,Canned Goods,12.99,46,10
PRD-1278,Soap Brand-30,Meat,18.51,84,15
PRD-1279,Bread Brand-27,Bakery,30.26,84,19
PRD-1280,Cooking Oil Brand-20,Personal Care,20.35,60,12
PRD-1281,Apples Brand-43,Cleaning,42.56,53,15
PRD-1282,Apples Brand-45,Beverages,35.77,13,22
PRD-1283,Chicken Brand-19,Bakery,43.18,88,25
PRD-1284,Juice Brand-17,Dairy,42.85,81,19
PRD-1285,Juice Brand-38,Produce,34.25,45,25
PRD-1286,Chicken Brand-50,Personal Care,40.76,76,25
PRD-1287,Juice Brand-33,Produce,29.28,19,27
PRD-1288,Bread Brand-29,Bakery,27.58,92,14
PRD-1289,Sugar Brand-3,Dairy,19.78,86,24
PRD-1290,Chicken Brand-33,Canned Goods,43.9,31,12
PRD-1291,Apples Brand-21,Canned Goods,24.72,88,16
PRD-1292,Milk Brand-18,Dairy,31.22,48,26
PRD-1293,Cooking Oil Brand-6,Canned Goods,20.38,54,22
PRD-1294,Salt Brand-9,Bakery,13.62,38,10
PRD-1295,Flour Brand-40,Bakery,35.92,39,23
PRD-1296,Cooking Oil Brand-4,Cleaning,18.12,44,23
PRD-1297,Salt Brand-41,Produce,22.7,69,13
PRD-1298,Chicken Brand-44,Bakery,38.95,8,21
PRD-1299,Milk Brand-23,Beverages,20.41,7,19
PRD-1300,Biscuits Brand-10,Produce,34.51,1,11
PRD-1301,Bread Brand-5,Canned Goods,11.02,40,27
PRD-1302,Juice Brand-33,Canned Goods,17.13,34,19
PRD-1303,Salt Brand-37,Dairy,37.75,60,26
PRD-1304,Biscuits Brand-1,Dairy,18.37,54,29
PRD-1305,Sugar Brand-41,Meat,20.63,4,10
PRD-1306,Salt Brand-3,Bakery,27.85,16,15
PRD-1307,Flour Brand-18,Meat,26.17,41,21
PRD-1308,Flour Brand-5,Personal Care,2.03,18,30
PRD-1309,Soap Brand-36,Dairy,9.85,90,12
PRD-1310,Juice Brand-32,Produce,32.78,6,10
PRD-1311,Apples Brand-47,Meat,14.03,93,29
PRD-1312,Chicken Brand-36,Meat,35.14,36,11
PRD-1313,Sugar Brand-49,Canned Goods,23.79,99,20
PRD-1314,Chicken Brand-23,Canned Goods,18.1,30,23
PRD-1315,Salt Brand-5,Bakery,20.41,55,10
PRD-1316,Apples Brand-24,Canned Goods,40.93,27,16
PRD-1317,Rice Brand-35,Bakery,21.9,18,14
PRD-1318,Rice Brand-11,Canned Goods,34.91,75,25
PRD-1319,Rice Brand-16,Dairy,24.47,30,12
PRD-1320,Soap Brand-4,Beverages,12.53,92,30
PRD-1321,Sugar Brand-34,Dairy,2.27,70,24
PRD-1322,Biscuits Brand-11,Produce,20.41,94,17
PRD-1323,Apples Brand-3,Produce,12.68,94,11
PRD-1324,Apples Brand-48,Beverages,9.82,81,19
PRD-1325,Juice Brand-7,Personal Care,35.35,28,12
PRD-1326,Juice Brand-6,Canned Goods,30.05,37,27
PRD-1327,Juice Brand-19,Personal Care,24.07,51,27
PRD-1328,Biscuits Brand-10,Bakery,7.84,66,27
PRD-1329,Chicken Brand-26,Produce,17.69,18,26
PRD-1330,Bread Brand-24,Meat,30.24,13,11
PRD-1331,Soap Brand-44,Dairy,44.2,1,27
PRD-1332,Soap Brand-43,Personal Care,41.85,51,21
PRD-1333,Juice Brand-31,Produce,10.42,23,20
PRD-1334,Biscuits Brand-25,Meat,37.86,41,11
PRD-1335,Rice Brand-38,Personal Care,33.22,57,24
PRD-1336,Flour Brand-14,Dairy,34.68,100,26
PRD-1337,Chicken Brand-19,Beverages,23.34,86,12
PRD-1338,Apples Brand-40,Beverages,19.8,49,30
PRD-1339,Salt Brand-43,Dairy,34.39,97,30
PRD-1340,Soap Brand-31,Meat,14.67,80,21
PRD-1341,Flour Brand-5,Bakery,10.18,44,30
PRD-1342,Bread Brand-2,Produce,8.87,53,21
PRD-1343,Soap Brand-30,Personal Care,44.9,60,14
PRD-1344,Chicken Brand-18,Beverages,17.54,8,21
PRD-1345,Chicken Brand-9,Canned Goods,44.05,65,21
PRD-1346,Juice Brand-31,Bakery,4.65,93,25
PRD-1347,Flour Brand-38,Meat,33.28,67,30
PRD-1348,Apples Brand-33,Cleaning,4.9,58,12
PRD-1349,Rice Brand-42,Personal Care,5.94,88,14
PRD-1350,Salt Brand-49,Cleaning,37.72,28,14
PRD-1351,Chicken Brand-4,Meat,22.04,30,29
PRD-1352,Salt Brand-1,Personal Care,4.47,96,30
PRD-1353,Sugar Brand-1,Personal Care,29.54,49,18
PRD-1354,Rice Brand-3,Produce,3.03,86,25
PRD-1355,Apples Brand-36,Beverages,21.67,53,25
PRD-1356,Juice Brand-41,Meat,30.53,55,28
PRD-1357,Chicken Brand-33,Cleaning,17.7,88,25
PRD-1358,Juice Brand-2,Cleaning,27.38,91,14
PRD-1359,Bread Brand-40,Meat,14.15,5,13
PRD-1360,Flour Brand-31,Dairy,16.16,96,19
PRD-1361,Apples Brand-22,Beverages,36.22,10,12
PRD-1362,Soap Brand-13,Meat,40.17,98,28
PRD-1363,Sugar Brand-17,Canned Goods,41.47,26,12
PRD-1364,Apples Brand-37,Personal Care,21.41,18,25
PRD-1365,Chicken Brand-45,Canned Goods,41.09,89,23
PRD-1366,Salt Brand-39,Beverages,26.37,81,29
PRD-1367,Milk Brand-9,Bakery,31.11,75,25
PRD-1368,Apples Brand-1,Cleaning,10.21,40,17
PRD-1369,Cooking Oil Brand-28,Beverages,3.61,58,10
PRD-1370,Flour Brand-35,Dairy,44.16,79,13
PRD-1371,Salt Brand-27,Personal Care,37.33,64,19
PRD-1372,Biscuits Brand-1,Meat,6.92,92,21
PRD-1373,Juice Brand-48,Beverages,39.97,72,26
PRD-1374,Milk Brand-28,Dairy,37.47,13,13
PRD-1375,Milk Brand-31,Bakery,15.49,87,20
PRD-1376,Juice Brand-44,Beverages,9.15,66,20
PRD-1377,Bread Brand-22,Meat,6.69,0,27
PRD-1378,Soap Brand-25,Canned Goods,17.47,29,19
PRD-1379,Milk Brand-41,Bakery,3.77,65,14
PRD-1380,Soap Brand-1,Produce,15.34,69,28
PRD-1381,Flour Brand-10,Beverages,42.66,42,30
PRD-1382,Biscuits Brand-33,Beverages,34.28,29,23
PRD-1383,Chicken Brand-25,Produce,11.39,63,29
PRD-1384,Sugar Brand-34,Beverages,20.12,42,24
PRD-1385,Soap Brand-10,Personal Care,4.28,82,29
PRD-1386,Apples Brand-35,Cleaning,42.04,52,13
PRD-1387,Cooking Oil Brand-19,Produce,19.13,30,18
PRD-1388,Milk Brand-21,Canned Goods,36.86,21,28
PRD-1389,Juice Brand-33,Personal Care,31.91,32,11
PRD-1390,Juice Brand-26,Dairy,22.87,27,23
PRD-1391,Bread Brand-9,Meat,28.52,11,22
PRD-1392,Juice Brand-40,Beverages,22.49,89,18
PRD-1393,Soap Brand-41,Bakery,19.76,48,25
PRD-1394,Rice Brand-10,Canned Goods,4.95,28,19
PRD-1395,Rice Brand-10,Canned Goods,29.0,32,21
PRD-1396,Salt Brand-2,Produce,32.39,71,15
PRD-1397,Flour Brand-17,Personal Care,44.31,27,30
PRD-1398,Salt Brand-18,Produce,23.08,65,11
PRD-1399,Bread Brand-43,Cleaning,8.87,9,10
PRD-1400,Sugar Brand-27,Dairy,34.55,15,21
PRD-1401,Apples Brand-15,Personal Care,27.51,52,17
PRD-1402,Juice Brand-30,Cleaning,15.45,15,28
PRD-1403,Flour Brand-30,Beverages,37.44,79,30
PRD-1404,Sugar Brand-8,Cleaning,8.28,16,30
PRD-1405,Milk Brand-39,Produce,19.15,55,30
PRD-1406,Juice Brand-12,Bakery,32.07,29,25
PRD-1407,Biscuits Brand-39,Canned Goods,26.77,30,14
PRD-1408,Sugar Brand-10,Canned Goods,37.16,96,27
PRD-1409,Soap Brand-34,Cleaning,2.64,3,26
PRD-1410,Cooking Oil Brand-35,Cleaning,21.49,63,30
PRD-1411,Juice Brand-29,Canned Goods,43.6,13,28
PRD-1412,Milk Brand-21,Beverages,17.57,22,28
PRD-1413,Rice Brand-3,Canned Goods,10.62,43,28
PRD-1414,Cooking Oil Brand-40,Cleaning,10.3,60,24
PRD-1415,Bread Brand-13,Meat,19.93,53,22
PRD-1416,Cooking Oil Brand-16,Cleaning,25.08,34,17
PRD-1417,Bread Brand-22,Dairy,26.54,24,18
PRD-1418,Biscuits Brand-38,Personal Care,26.15,41,15
PRD-1419,Apples Brand-35,Cleaning,16.96,69,25
PRD-1420,Apples Brand-33,Cleaning,11.25,65,24
PRD-1421,Flour Brand-19,Produce,29.34,49,14
PRD-1422,Sugar Brand-30,Personal Care,4.96,61,15
PRD-1423,Sugar Brand-36,Bakery,19.07,10,23
PRD-1424,Soap Brand-48,Cleaning,20.03,73,20
PRD-1425,Sugar Brand-37,Bakery,24.21,27,24
PRD-1426,Sugar Brand-28,Canned Goods,33.73,27,30
PRD-1427,Salt Brand-24,Bakery,25.32,32,16
PRD-1428,Apples Brand-3,Meat,34.4,70,11
PRD-1429,Apples Brand-27,Canned Goods,10.51,24,15
PRD-1430,Juice Brand-30,Bakery,24.08,82,21
PRD-1431,Salt Brand-21,Produce,8.55,29,29
PRD-1432,Milk Brand-8,Dairy,1.87,48,15
PRD-1433,Flour Brand-24,Dairy,33.13,79,16
PRD-1434,Sugar Brand-42,Produce,6.72,34,23
PRD-1435,Soap Brand-24,Meat,8.68,95,13
PRD-1436,Juice Brand-17,Beverages,2.44,70,10
PRD-1437,Salt Brand-22,Cleaning,27.49,28,25
PRD-1438,Milk Brand-28,Cleaning,16.2,12,28
PRD-1439,Chicken Brand-12,Beverages,19.77,59,17
PRD-1440,Biscuits Brand-1,Meat,21.1,61,25
PRD-1441,Bread Brand-30,Canned Goods,21.68,13,15
PRD-1442,Biscuits Brand-10,Bakery,19.26,38,26
PRD-1443,Rice Brand-27,Dairy,24.18,50,11
PRD-1444,Biscuits Brand-19,Beverages,35.71,32,22
PRD-1445,Juice Brand-49,Personal Care,12.83,6,25
PRD-1446,Soap Brand-22,Cleaning,14.59,27,11
PRD-1447,Salt Brand-23,Bakery,7.37,68,21
PRD-1448,Rice Brand-7,Meat,5.07,48,28
PRD-1449,Bread Brand-13,Personal Care,31.24,25,14
PRD-1450,Biscuits Brand-15,Canned Goods,27.69,27,12
PRD-1451,Sugar Brand-31,Personal Care,26.07,20,29
PRD-1452,Soap Brand-36,Dairy,7.6,49,29
PRD-1453,Cooking Oil Brand-46,Meat,42.88,59,22
PRD-1454,Biscuits Brand-20,Personal Care,19.09,93,20
PRD-1455,Bread Brand-12,Personal Care,22.82,41,24
PRD-1456,Salt Brand-16,Produce,35.43,50,17
PRD-1457,Apples Brand-3,Meat,23.14,32,14
PRD-1458,Soap Brand-45,Canned Goods,16.34,50,30
PRD-1459,Cooking Oil Brand-43,Meat,14.97,67,19
PRD-1460,Juice Brand-26,Beverages,43.13,94,21
PRD-1461,Flour Brand-19,Personal Care,3.98,2,17
PRD-1462,Cooking Oil Brand-33,Meat,19.26,9,13
PRD-1463,Biscuits Brand-46,Meat,14.08,22,12
PRD-1464,Flour Brand-39,Canned Goods,27.4,3,27
PRD-1465,Bread Brand-11,Cleaning,25.52,78,29
PRD-1466,Biscuits Brand-41,Dairy,11.43,87,14
PRD-1467,Bread Brand-37,Beverages,1.65,55,25
PRD-1468,Chicken Brand-23,Produce,5.75,98,19
